date,Battery,
2024-12-08T18,142,415267
2024-12-08T19,32,415299
2024-12-08T20,152,415451
2024-12-08T21,51,415502
2024-12-08T22,89,415591
2024-12-08T23,239,415830
2024-12-09T00,1963,417793
2024-12-09T01,1893,419686
2024-12-09T02,1350,421036
2024-12-09T03,1126,422162
2024-12-09T04,744,422906
2024-12-09T05,543,423449
2024-12-09T06,418,423867
2024-12-09T07,238,424105
2024-12-09T08,118,424223
2024-12-09T09,46,424269
2024-12-09T10,75,424344
2024-12-09T11,111,424455
2024-12-09T12,172,424627
2024-12-09T13,953,425580
2024-12-09T14,1028,426608
2024-12-09T15,266,426874
2024-12-09T16,342,427216
2024-12-09T17,112,427328
2024-12-09T18,173,427501
2024-12-09T19,205,427706
2024-12-09T20,245,427951
2024-12-09T21,179,428130
2024-12-09T22,141,428271
2024-12-09T23,661,428932
2024-12-10T00,1844,430776
2024-12-10T01,1957,432733
2024-12-10T02,1555,434288
2024-12-10T03,1076,435364
2024-12-10T04,884,436248
2024-12-10T05,651,436899
2024-12-10T06,329,437228
2024-12-10T07,46,437274
2024-12-10T08,144,437418
2024-12-10T09,33,437451
2024-12-10T10,42,437493
2024-12-10T11,135,437628
2024-12-10T12,210,437838
2024-12-10T13,777,438615
2024-12-10T14,976,439591
2024-12-10T15,168,439759
2024-12-10T16,171,439930
2024-12-10T17,-62,439868
2024-12-10T18,19,439887
2024-12-10T19,-19,439868
2024-12-10T20,-61,439807
2024-12-10T21,428,440235
2024-12-10T22,186,440421
2024-12-10T23,293,440714
2024-12-11T00,737,441451
2024-12-11T01,1369,442820
2024-12-11T02,1477,444297
2024-12-11T03,2075,446372
2024-12-11T04,1609,447981
2024-12-11T05,985,448966
2024-12-11T06,555,449521
2024-12-11T07,494,450015
